1994-01-01 | Size of misc in tokens: 1321905

     18340 | Patentanwaltsordnung
     17466 | Gesetz betreffend die Erwerbs- und Wirtschaftsgenossenschaften
     16798 | Gesetz über die Zwangsversteigerung und die Zwangsverwaltung
     16163 | Wehrdisziplinarordnung
     15980 | Flurbereinigungsgesetz
     15660 | Seemannsgesetz
     14820 | Verwaltungsgerichtsordnung
     13940 | Gesetz über Urheberrecht und verwandte Schutzrechte
     13760 | Hochschulrahmengesetz
     13023 | Bundesdisziplinarordnung
     12991 | Gesetz zur allgemeinen Regelung durch den Krieg und den Zusammenbruch des Deutschen Reiches entstandener Schäden
     12721 | Gesetz über die Einführung des deutschen Rechts auf dem Gebiete der Steuern, Zölle und Finanzmonopole im Saarland
     12502 | Grundbuchordnung
     12475 | Bürgerliches Gesetzbuch / Erstes Buch Allgemeiner Teil
     11755 | Gesetz zur Einführung von Bundesrecht im Saarland
     11733 | Rahmengesetz zur Vereinheitlichung des Beamtenrechts
     11613 | Bundesnotarordnung
     11343 | Handelsgesetzbuch / Erstes Buch Handelsstand
     11286 | Gesetz zur Bereinigung von deutschen Schuldverschreibungen, die auf ausländische Währung lauten
     10590 | Gesetz zum Schutz vor gefährlichen Stoffen
      9990 | Personenbeförderungsgesetz
      9791 | D-Markbilanzgesetz für das Saarland
      9655 | Gesetz über explosionsgefährliche Stoffe
      9630 | Gesetz über die Selbstverwaltung der Gemeinden und Landkreise in der DDR
      9229 | Gesetz zur Ordnung des Wasserhaushalts
      9108 | Gesetz betreffend die Gesellschaften mit beschränkter Haftung
      9066 | Gesetz über die Unternehmensverfassung der Deutschen Bundespost (Artikel 1 des Gesetzes zur Neustrukturierung des Post- und Fernmeldewesens und der Deutschen Bundespost)
      8635 | Gesetz über Agrarstatistiken
      8517 | Wohngeldgesetz
      8416 | Gesetz über die Landbeschaffung für Aufgaben der Verteidigung
      8400 | Personenstandsgesetz
      8391 | Bundesfernstraßengesetz
      8367 | Börsengesetz
      7929 | Gesetz zum Schutze der arbeitenden Jugend
      7836 | Gesetz über das Verfahren bei der Errichtung und Verteilung eines Fonds zur Beschränkung der Haftung in der See- und Binnenschiffahrt
      7756 | Gesetz zum Schutz der Kulturpflanzen
      7727 | Abfallgesetz (Artikel 1 des Gesetzes über die Vermeidung und Entsorgung von Abfällen)
      7473 | Wechselgesetz
      7442 | Gesetz über das Zentralregister und das Erziehungsregister
      7245 | Bundeswahlgesetz
      7022 | Bundesgesetz zur Regelung der rückerstattungsrechtlichen Geldverbindlichkeiten des Deutschen Reichs und gleichgestellter Rechtsträger
      6959 | Umwandlungsgesetz
      6881 | Gesetz zur Herstellung der Rechtseinheit in der gesetzlichen Renten- und Unfallversicherung
      6735 | Gesetz über die Ergänzung von Vorschriften des Umstellungsrechts und über die Ausstattung der Berliner Altbanken mit Ausgleichsforderungen
      6667 | Gesetz über das Wohnungseigentum und das Dauerwohnrecht
