,2015_3,2015_11,2011_3,2010_0,2015_0,2009_8,2015_4,2018_7,2013_0,2018_28,2007_12,1994_9,2018_6,1995_3,2018_10,2018_15,2018_9,2012_26,2005_6,2017_2
0,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the
1,of,of,of,of,of,of,of,of,of,of,of,of,of,acreage,of,of,of,of,of,of
2,to,taxable,and,or,thence,to,to,to,to,or,and,nonattainment,sbir,of,alien,to,veteran,annuity,intelligence,and
3,and,to,to,to,wilderness,mortgagee,and,or,and,swap,to,to,to,cotton,to,copyright,to,annuitant,to,to
4,in,in,in,and,park,and,in,and,or,to,or,and,sttr,wheat,or,landsat,or,to,greens,in
5,or,or,or,in,and,mortgagor,or,in,in,and,deepwater,or,and,crop,visa,or,and,or,or,or
6,for,such,this,any,to,or,cuba,spirits,tribe,in,effluent,in,or,quota,nonimmigrant,subscriber,in,survivor,and,sergeant
7,such,for,for,such,creek,in,for,distilled,shall,sipc,in,emission,in,to,and,cable,such,and,flowers,for
8,this,and,student,shall,fork,homeownership,this,nafta,boxing,such,this,lamp,for,peanuts,in,and,for,in,in,shall
9,under,any,under,by,battlefield,this,hiv,countervailable,for,any,such,this,shall,planted,aliens,franchising,secretary,this,promoflor,doorkeeper
10,shall,shall,such,this,in,for,such,such,be,issuer,for,for,offeror,and,immigrant,in,this,under,such,be
11,section,section,shall,be,river,under,be,this,navajo,indenture,shall,shall,by,sugar,visas,phonorecord,under,shall,shall,such
12,be,be,that,for,township,such,shall,for,indians,futures,pollutant,such,this,in,deportable,retransmission,shall,for,for,this
13,by,by,teachers,depository,forest,shall,united,wto,roll,dealer,any,ozone,be,for,this,such,be,section,any,franked
14,pesticide,which,section,under,confluence,secretary,states,wine,such,investors,under,under,such,upland,inadmissible,multichannel,by,be,watermelons,by
15,with,as,be,as,or,be,pakistan,shall,this,broker,solid,pollutant,that,or,for,signal,cemetery,such,by,under
16,secretary,multiemployer,with,thrift,corner,section,by,hts,any,this,hazardous,emissions,under,tobacco,shall,programming,section,thrift,be,any
17,as,under,by,section,headwaters,housing,cuban,under,by,shall,be,ambient,section,milk,such,shall,any,an,plantship,section
18,that,this,youth,conservator,seashore,by,soviet,any,hopi,by,section,section,any,burley,under,intelsat,is,by,this,as
19,is,is,secretary,with,trail,any,any,saharan,crow,for,sludge,any,is,cropland,section,subscribers,veterans,any,section,senator
20,any,year,school,that,monument,mortgages,section,be,indian,swaps,coastal,be,offerors,sugarcane,crewman,transmissions,as,service,under,is
21,an,taxpayer,state,sipc,shall,that,under,merchandise,passamaquoddy,commission,dumping,lamps,business,shall,asylum,ntia,nursing,is,cut,printer
22,ma,plan,as,is,scenic,mortgage,that,antidumping,secretary,be,wastes,by,hubzone,beet,an,bell,that,as,as,limes
23,state,not,teacher,bank,depicted,as,with,drawback,yurok,clearing,by,powerplant,with,this,be,frequencies,may,creditable,is,may
24,not,an,an,depositor,lands,with,mtcr,wines,gay,underwriter,sanctuary,btu,as,secretary,refugee,carrier,with,remarriage,with,an
25,which,with,proficient,may,northerly,is,afghanistan,trade,boxer,as,pollutants,fluorescent,subcontract,producer,is,satellite,servicemembers,intelligence,an,senators
26,medicare,purposes,any,not,for,may,as,subheading,under,with,atsdr,with,an,corn,any,any,on,title,handlers,with
27,title,subsection,childhood,an,be,dwelling,nato,section,as,is,spill,that,not,be,states,for,headstone,employee,handler,dentist
28,subsection,includible,educational,which,map,not,on,by,penobscot,securities,with,highway,contract,crops,united,digital,which,grievant,that,which
29,may,if,agency,insured,grazing,affordable,hungary,is,klamath,that,nonpoint,urbanized,small,such,refugees,by,subsection,spouse,may,humanities
30,drug,amount,title,banking,secretary,homebuyers,is,hong,section,section,administrator,monoxide,on,farm,nonimmigrants,this,not,grievance,agency,not
31,nih,nonforfeitable,is,institution,easterly,paint,democracy,kong,lands,rollup,which,guideway,may,under,by,musical,title,which,secretary,on
32,on,paragraph,iep,federal,wild,which,israel,nonoriginating,that,person,navigable,mmbtu,agency,by,immigration,analog,an,on,which,arctic
33,services,dividend,education,other,such,title,poland,that,tribes,under,tank,secretary,subcontracting,wetland,naturalization,phonorecords,pension,with,on,that
34,physician,on,toddlers,board,as,homeowner,may,countervailing,hoopa,an,is,lbs,subsection,hundredweight,as,inmarsat,other,may,not,whip
35,clinical,corporation,pupil,on,east,other,saharan,cafta,mohegan,not,state,state,microloan,grazing,consular,broadcast,department,that,subsection,studio
36,pediatric,income,pell,corporation,lakeshore,foreclosure,other,imported,with,derivatives,as,as,administration,bushel,that,unenhanced,dependency,not,information,title
37,health,distributee,not,credit,this,an,which,as,miccosukee,penny,not,fueled,which,rice,title,station,homeless,capitol,archivist,other
