,from_cluster,to_cluster,tokens_n,chars_n,from_cluster_chars_n,to_cluster_chars_n,from_cluster_tokens_n,to_cluster_tokens_n,from_cluster_in_degree,to_cluster_in_degree,from_cluster_out_degree,to_cluster_out_degree,from_cluster_law_names,to_cluster_law_names,from_cluster_bipartite,to_cluster_bipartite,chars_n_fraction_of_from_cluster,chars_n_fraction_of_to_cluster,tokens_n_fraction_of_from_cluster,tokens_n_fraction_of_to_cluster,event_category
0,1994_0,1995_1,342069,2089376,2278859,2276606,371234,370868,0,1,2,2,"250_1994,1773,480_1994,87,420_1994,32,070_1994,21,180_1994,20,310_1994,7,350_1994,6","250_1995,1774,480_1995,88,420_1995,32,070_1995,21,180_1995,20,310_1995,7",1994,1995,0.9168518104893721,0.9177591555148321,0.9214376915907487,0.922347034524413,stasis
2,1994_1,1995_0,642129,3970699,4227943,4466613,680832,719842,0,4,3,3,"160_1994,2728,430_1994,209,420_1994,35,070_1994,30,300_1994,18,360_1994,17,180_1994,16,250_1994,13,310_1994,7","160_1995,2790,430_1995,209,420_1995,35,070_1995,30,300_1995,23,360_1995,17,180_1995,16,250_1995,13,310_1995,7",1994,1995,0.9391562279813138,0.8889731436325466,0.9431533770445573,0.8920415869037928,stasis
5,1994_2,1995_2,461358,2844881,3234733,3242142,521690,523124,0,1,2,3,"120_1994,942,150_1994,197,180_1994,98,420_1994,11,490_1994,8","120_1995,942,150_1995,199,180_1995,98,420_1995,11",1994,1995,0.8794793882524462,0.8774695864647508,0.8843527765531254,0.8819285676053861,stasis
7,1994_3,1995_4,23742,145049,152975,152975,24904,24904,0,1,1,1,"360_1994,381,160_1994,9","360_1995,381,160_1995,9",1994,1995,0.94818761235496,0.94818761235496,0.9533408287825249,0.9533408287825249,stasis
8,1994_4,1995_6,498768,3120552,3493997,3473457,556112,552817,0,1,1,1,"420_1994,590,120_1994,449,480_1994,54,200_1994,8","420_1995,590,120_1995,448,480_1995,54,200_1995,8",1994,1995,0.8931181108627169,0.8983994907666916,0.896884080904566,0.9022298518316187,stasis
9,1994_5,1995_7,315696,1950863,2353712,2356497,378824,379444,0,1,1,3,"190_1994,863,260_1994,213,150_1994,46,360_1994,22,180_1994,6,490_1994,4","190_1995,855,260_1995,213,150_1995,46,360_1995,22,180_1995,6,490_1995,4",1994,1995,0.8288452452976405,0.8278656836821774,0.833357970983887,0.8319962893075131,stasis
10,1994_6,1995_5,1016378,6301378,7532192,7883233,1212256,1268639,0,3,1,4,"420_1994,1735,450_1994,58,260_1994,32,200_1994,31,050_1994,14,180_1994,13,310_1994,8,500_1994,4","420_1995,1783,450_1995,58,260_1995,32,200_1995,31,070_1995,23,050_1995,14,180_1995,13,310_1995,8,500_1995,4",1994,1995,0.8365928537137662,0.7993393066017458,0.8384186178496951,0.8011561996754002,stasis
11,1994_7,1995_9,297700,1880017,2151110,2149851,339445,339257,0,1,1,3,"330_1994,333,420_1994,194,160_1994,23,140_1994,19,460_1994,19,150_1994,11,260_1994,8,100_1994,8,250_1994,8","330_1995,334,420_1995,194,160_1995,23,140_1995,19,460_1995,19,150_1995,11,250_1995,8,260_1995,8,100_1995,8",1994,1995,0.8739752964748432,0.8744871156187103,0.8770198412113892,0.8775058436524523,stasis
12,1994_8,1995_8,107214,656826,760342,764361,123501,124206,0,1,1,5,"210_1994,162,180_1994,118,420_1994,20,100_1994,14,490_1994,12,280_1994,8","210_1995,162,180_1995,118,420_1995,20,100_1995,14,490_1995,12,280_1995,8,070_1995,6",1994,1995,0.8638560016413667,0.859313858242375,0.8681225253236816,0.8631950147335877,stasis
13,1994_9,1995_14,324996,2055530,2428635,2412309,382301,379775,0,1,2,4,"420_1994,549,150_1994,69,490_1994,64,260_1994,38,180_1994,24,070_1994,17","420_1995,549,150_1995,69,490_1995,64,260_1995,38,180_1995,24,070_1995,9",1994,1995,0.8463725508361692,0.8521006222668821,0.850105021959137,0.8557593311829372,stasis
15,1994_10,1995_11,190264,1214529,1404201,1438118,219236,224392,0,2,1,5,"220_1994,508,100_1994,96,120_1994,31,500_1994,5,260_1994,5,200_1994,5","220_1995,550,100_1995,96,120_1995,31,500_1995,5,260_1995,5,200_1995,5",1994,1995,0.8649253205203529,0.8445266661011127,0.867850170592421,0.8479090163642198,stasis
16,1994_11,1995_76,32396,207512,723516,271848,114978,41895,0,1,4,4,"400_1994,125,120_1994,99,430_1994,63,100_1994,60,150_1994,40,220_1994,33,410_1994,25,440_1994,20,380_1994,18,070_1994,13,360_1994,10","150_1995,40,410_1995,25,440_1995,20,400_1995,19,380_1995,18",1994,1995,0.2868105197397155,0.7633383361290133,0.28175824940423383,0.7732664995822891,split
17,1994_11,1995_30,56064,345226,723516,375569,114978,60826,0,1,4,5,"400_1994,125,120_1994,99,430_1994,63,100_1994,60,150_1994,40,220_1994,33,410_1994,25,440_1994,20,380_1994,18,070_1994,13,360_1994,10","120_1995,99,400_1995,83,430_1995,63,100_1995,60,220_1995,33,360_1995,10",1994,1995,0.4771504707566937,0.9192079218465847,0.4876063246882012,0.9217111103804294,split
18,1994_11,1995_209,10719,67390,723516,71494,114978,11334,0,1,4,1,"400_1994,125,120_1994,99,430_1994,63,100_1994,60,150_1994,40,220_1994,33,410_1994,25,440_1994,20,380_1994,18,070_1994,13,360_1994,10","400_1995,24",1994,1995,0.09314237694812555,0.9425965815313173,0.09322653029275166,0.9457384859714134,split
20,1994_12,1995_3,254708,1562480,1870122,2131501,302878,343079,0,2,4,8,"070_1994,416,160_1994,166,150_1994,42,500_1994,35,310_1994,29","070_1995,681,160_1995,124,150_1995,42,500_1995,35",1994,1995,0.8354962938246809,0.7330421144536174,0.840959066026585,0.7424179270663608,growth
21,1994_12,1995_146,12842,84922,1870122,93346,302878,14039,0,1,4,1,"070_1994,416,160_1994,166,150_1994,42,500_1994,35,310_1994,29","160_1995,28",1994,1995,0.04540987165543211,0.9097551046643669,0.042399910194863936,0.9147375169171593,split
22,1994_12,1995_411,7958,48094,1870122,58687,302878,9582,0,1,4,1,"070_1994,416,160_1994,166,150_1994,42,500_1994,35,310_1994,29","310_1995,30",1994,1995,0.025717038781427094,0.8195000596384208,0.026274605616782996,0.8305155499895638,split
24,1994_13,1995_12,37138,230202,265225,303746,42568,48902,0,2,1,4,"050_1994,57,200_1994,30,160_1994,13,440_1994,13,360_1994,11,420_1994,11,150_1994,11,220_1994,9,120_1994,8,210_1994,8,380_1994,7,180_1994,4","050_1995,57,200_1995,30,220_1995,15,440_1995,13,160_1995,13,070_1995,12,150_1995,11,420_1995,11,360_1995,11,210_1995,8,120_1995,8,380_1995,7,180_1995,4",1994,1995,0.8679498538976341,0.7578766469352682,0.8724393910919,0.7594372418306,stasis
25,1994_14,1995_15,177580,1087717,1281918,1366776,208495,222007,0,2,1,4,"210_1994,175,150_1994,82,070_1994,44,280_1994,2,350_1994,2","210_1995,175,150_1995,129,070_1995,66,350_1995,2,280_1995,2",1994,1995,0.8485074708366682,0.7958268216591453,0.8517230629031871,0.7998846883206385,stasis
