method,consensus_runs,count,mean,std,min,25%,50%,75%,max
NMI,1,4950.0,0.9274923139827917,0.006997065228056005,0.9019162728583112,0.9227541496547202,0.9273580164178183,0.932317600210879,0.9537287860218899
NMI,2,4950.0,0.8702145808315013,0.023260840787609417,0.7829298737676901,0.8542381199041694,0.8703541362513794,0.8865408841010883,0.9434230464289778
NMI,4,4950.0,0.9575902045468785,0.0042644998333706,0.9416363064699329,0.9547238006623144,0.9576331542171665,0.960457152303319,0.9725354899740563
NMI,8,4950.0,0.9732259124387039,0.002517135534154703,0.9641785315646251,0.9715213246516796,0.9733140224559631,0.9749669807046022,0.9809261937518798
NMI,16,4950.0,0.9826658154931309,0.0017919242425320455,0.976464059303126,0.9814342525036802,0.9826775288101955,0.9838711257378037,0.9888381628220335
NMI,32,4950.0,0.9880638230137386,0.0012840985060279778,0.9836476239679824,0.9871852792911456,0.9880962978056407,0.9889437825699343,0.9925978189684682
NMI,64,4950.0,0.9917002078545654,0.0010940629028161717,0.9868836600895292,0.9909744314908709,0.9917316604409233,0.9924460897443393,0.9950311479073954
NMI,128,4950.0,0.993701254727783,0.0009369610779432799,0.9904252429263622,0.9930435219141229,0.9936803645412569,0.994324720474334,0.9968955370262118
NMI,256,4950.0,0.9950138237381385,0.000840598881515812,0.9921456188005303,0.9944149434199828,0.9950256613958703,0.9956044082594118,0.9978740127720858
NMI,512,4950.0,0.9962691313399042,0.0007836389615120327,0.9935996100068359,0.9957337111994464,0.9962724347162266,0.9968162467021939,0.9985208216701013
NMI,1000,4950.0,0.9970301195101872,0.0007354052807763114,0.9943807977186605,0.9965300965836269,0.9970370385636051,0.9975491033410631,0.9992544452986332
Rand,1,4950.0,0.6901921919476206,0.037358342552963775,0.5673095623232387,0.6644479025289555,0.6907806128515818,0.7159838478907877,0.8309425601858232
Rand,2,4950.0,0.6851158908518319,0.06407516846295164,0.45071056112517277,0.6422654084540149,0.6871676319766344,0.7300476325684031,0.8696584751823419
Rand,4,4950.0,0.7594995606955406,0.04014138905161633,0.6034553379426032,0.7310128690324476,0.759155466827575,0.7875432608203292,0.8777371526752702
Rand,8,4950.0,0.8468253599686625,0.02208979756921871,0.7708721135983889,0.8319038652511621,0.8469902579457316,0.8621673200848855,0.9114830228903459
Rand,16,4950.0,0.896959621434755,0.017457617209773187,0.8336699825146497,0.885186808970886,0.898077987857843,0.909713843299798,0.9491803283308874
Rand,32,4950.0,0.9290086156558532,0.012966794583927256,0.8783289856087911,0.9203215333509676,0.92988354746475,0.9384278556139922,0.9709356152636615
Rand,64,4950.0,0.9505356414064258,0.01214872893207215,0.9005226963376544,0.9423092346226873,0.9516695776140424,0.9594217664356113,0.9794500878326937
Rand,128,4950.0,0.9576321827361611,0.011197633220754939,0.9144708249619399,0.9494556864704613,0.9580146856493443,0.9662397567846598,0.9862247828942622
Rand,256,4950.0,0.962673966513342,0.01067656794567798,0.9299139687667074,0.9543960708628221,0.9629331511828669,0.9709164902651679,0.992594123839164
Rand,512,4950.0,0.9704744230614595,0.010246464292520333,0.941173068298983,0.9627554496769516,0.9712555960906667,0.9782950975785533,0.9946663338612537
Rand,1000,4950.0,0.9744327850331187,0.010107910032699409,0.9446062120196516,0.9665779889264354,0.974707281805943,0.9826419384580041,0.9977061002011858
